English,Chinese (S),Location,Transfers[10],Line, Latitude , Longitude ,
Baiyin Road,白银路,Jiading,,11, 31.3451810000 , 121.2454280000 ,
West Jiading,嘉定西,Jiading,,11, 31.3770920000 , 121.2278620000 ,
North Jiading,嘉定北,Jiading,,11, 31.3915040000 , 121.2373270000 ,
Shanghai Circuit,上海赛车场,Jiading,,11, 31.3318180000 , 121.2260540000 ,
East Changji Road,昌吉东路,Jiading,,11, 31.2935460000 , 121.2003810000 ,
Shanghai Automobile City,上海汽车城,Jiading,,11, 31.2854190000 , 121.1807830000 ,
Anting,安亭,Jiading,,11, 31.3052300714 , 121.1785450895 ,
Zhaofeng Road,兆丰路,"Kunshan, Jiangsu",,11, 31.2890440354 , 121.1500418929 ,
Guangming Road,光明路,"Kunshan, Jiangsu",,11, 31.2962776586 , 121.1171751318 ,
Huaqiao,花桥,"Kunshan, Jiangsu",,11, 31.2987919670 , 121.1043819921 ,
Jinhai Road,金海路,Pudong,9,12, 31.2631128023 , 121.6386506525 ,
Shenjiang Road,申江路,Pudong,,12, 31.2801247141 , 121.6268259739 ,
Jinjing Road,金京路,Pudong,,12, 31.2796695919 , 121.6149962993 ,
North Yanggao Road,杨高北路,Pudong,,12, 31.2801012688 , 121.6029713557 ,
Jufeng Road,巨峰路,Pudong,6,12, 31.2801140955 , 121.5893540833 ,
Donglu Road,东陆路,Pudong,,12, 31.2824965716 , 121.5788697258 ,
Fuxing Island,复兴岛,Yangpu,,12, 31.2807605428 , 121.5612282147 ,
Aiguo Road,爱国路,Yangpu,,12, 31.2798294151 , 121.5525623746 ,
Longchang Road,隆昌路,Yangpu,,12, 31.2754988294 , 121.5450258484 ,
Ningguo Road,宁国路,Yangpu,,12, 31.2685959451 , 121.5326008715 ,
Jiangpu Park,江浦公园,Yangpu,,12, 31.2644682865 , 121.5237051078 ,
Dalian Road,大连路,Yangpu,4,12, 31.2579402013 , 121.5129702667 ,
Tilanqiao,提篮桥,Hongkou,,12, 31.2534787107 , 121.5066748941 ,
International Cruise Terminal,国际客运中心,Hongkou,,12, 31.2501297874 , 121.4984302801 ,
Tiantong Road,天潼路,Hongkou,10,12, 31.2438164461 , 121.4823430367 ,
Qufu Road,曲阜路,Jing'an,8,12, 31.2422794629 , 121.4715317437 ,
Hanzhong Road,汉中路,Jing'an,1 13,12, 31.2418749330 , 121.4582982410 ,
West Nanjing Road,南京西路,Jing'an,2 13 [c],12, 31.2299280755 , 121.4605991657 ,
South Shaanxi Road,陕西南路,Huangpu,1 10,12, 31.2149228095 , 121.4585974611 ,
Jiashan Road,嘉善路,Xuhui,9,12, 31.2026987073 , 121.4609484928 ,
Damuqiao Road,大木桥路,Xuhui,4,12, 31.1941644370 , 121.4637161324 ,
Middle Longhua Road,龙华中路,Xuhui,7,12, 31.1847817951 , 121.4574426404 ,
Longhua,龙华,Xuhui,11,12, 31.1729356119 , 121.4532781374 ,
Longcao Road,龙漕路,Xuhui,3,12, 31.1694530000 , 121.4443910000 ,
Caobao Road,漕宝路,Xuhui,1,12, 31.1683910928 , 121.4349516747 ,
Guilin Park,桂林公园,Xuhui,,12, 31.1009000000 , 121.2455000000 ,
Hongcao Road,虹漕路,Xuhui,,12, 31.0957000000 , 121.2421000000 ,
Hongmei Road,虹梅路,Xuhui,,12, 31.0943000000 , 121.2328000000 ,
Donglan Road,东兰路,Minhang,,12, 31.0927000000 , 121.2314000000 ,
Gudai Road,顾戴路,Minhang,,12, 31.0834000000 , 121.2315000000 ,
Hongxin Road,虹莘路,Minhang,,12, 31.0823000000 , 121.2234000000 ,
Qixin Road,七莘路,Minhang,,12, 31.0759000000 , 121.2127000000 ,
Jinyun Road,金运路,Jiading,,13, 31.2409432292 , 121.3199755174 ,
West Jinshajiang Road,金沙江西路,Jiading,,13, 31.2411720613 , 121.3352096650 ,
Fengzhuang,丰庄,Jiading,,13, 31.2424248751 , 121.3553121494 ,
South Qilianshan Road,祁连山南路,Putuo,,13, 31.2376480919 , 121.3673209479 ,
Zhenbei Road,真北路,Putuo,,13, 31.2322135310 , 121.3821984382 ,
Daduhe Road,大渡河路,Putuo,,13, 31.2318204208 , 121.3942629407 ,
Jinshajiang Road,金沙江路,Putuo,3 4,13, 31.2313134633 , 121.4118713113 ,
Longde Road,隆德路,Putuo,11,13, 31.2305098288 , 121.4236451950 ,
Wuning Road,武宁路,Putuo,,13, 31.2345029533 , 121.4306973563 ,
Changshou Road,长寿路,Putuo,7,13, 31.2404172824 , 121.4377528496 ,
Jiangning Road,江宁路,Putuo,,13, 31.1446000000 , 121.2624000000 ,
Hanzhong Road,汉中路,Jing'an,1 12,13, 31.2418749330 , 121.4582982410 ,
Shanghai Natural History Museum,自然博物馆,Jing'an,,13, 31.1418000000 , 121.2728000000 ,
West Nanjing Road,南京西路,Jing'an,2 12 [c],13, 31.2299280755 , 121.4605991657 ,
Middle Huaihai Road,淮海中路,Huangpu,,13, 31.1319000000 , 121.2735000000 ,
Xintiandi,新天地,Huangpu,10,13, 31.2161021182 , 121.4743520059 ,
Madang Road,马当路,Huangpu,9,13, 31.2093410665 , 121.4764588645 ,
World Expo Museum,世博会博物馆,Huangpu,,13, 31.1158000000 , 121.2838000000 ,
Shibo Avenue,世博大道,Pudong,,13, 31.1106000000 , 121.2845000000 ,
Changqing Road,长清路,Pudong,7 [c],13, 31.1755484866 , 121.4873910460 ,
Chengshan Road,成山路,Pudong,8,13, 31.1713302128 , 121.4960790306 ,
Dongming Road,东明路,Pudong,6,13, 31.1727372577 , 121.5110069046 ,
Huapeng Road,华鹏路,Pudong,,13, 31.1787000000 , 121.5226000000 ,
Xianan Road,下南路,Pudong,,13, 31.1815000000 , 121.5361000000 ,
Beicai,北蔡,Pudong,,13, 31.1824000000 , 121.5479000000 ,
Chenchun Road,陈春路,Pudong,,13, 31.1771000000 , 121.5539000000 ,
Lianxi Road,莲溪路,Pudong,,13, 31.1713000000 , 121.5620000000 ,
Middle Huaxia Road,华夏中路,Pudong,16,13, 31.1757792307 , 121.5831551419 ,
Zhongke Road,中科路,Pudong,,13, 31.1810000000 , 121.5964000000 ,
Xuelin Road,学林路,Pudong,,13, 31.1858000000 , 121.6104000000 ,
Zhangjiang Road,张江路,Pudong,,13, 31.1914000000 , 121.6258000000 ,
Longyang Road,龙阳路,Pudong,2 7 Maglev [e],16, 31.2019512949 , 121.5577914396 ,
Middle Huaxia Road,华夏中路,Pudong,13,16, 31.1757792307 , 121.5831551419 ,
Luoshan Road,罗山路,Pudong,11,16, 31.1532727960 , 121.5931844861 ,
East Zhoupu,周浦东,Pudong,,16, 31.1100876206 , 121.6069283581 ,
Heshahangcheng,鹤沙航城,Pudong,,16, 31.0775633970 , 121.6112725795 ,
East Hangtou,航头东,Pudong,,16, 31.0547996957 , 121.6174761678 ,
Xinchang,新场,Pudong,,16, 31.0453904864 , 121.6490385903 ,
Wild Animal Park,野生动物园,Pudong,,16, 31.0490000000 , 121.7090000000 ,
Huinan,惠南,Pudong,,16, 31.0538778505 , 121.7625389351 ,
East Huinan,惠南东,Pudong,,16, 31.0264251872 , 121.7938964019 ,
Shuyuan,书院,Pudong,,16, 30.9592612351 , 121.8506634012 ,
Lingang Avenue,临港大道,Pudong,,16, 30.9236069181 , 121.9106626308 ,
Dishui Lake,滴水湖,Pudong,,16, 30.9068668200 , 121.9299263149 ,
Hongqiao Railway Station,虹桥火车站,Minhang,2 10 Hongqiao[b],17, 31.1937845473 , 121.3201189938 ,
Zhuguang Road,诸光路,Qingpu,,17, 31.1939390000 , 121.2879690000 ,
Panlong Road,蟠龙路,Qingpu,,17, 31.1884020000 , 121.2739320000 ,
Xuying Road,徐盈路,Qingpu,,17, 31.1801080000 , 121.2495350000 ,
Xujingbeicheng,徐泾北城,Qingpu,,17, 31.1775490000 , 121.2372610000 ,
Middle Jiasong Road,嘉松中路,Qingpu,,17, 31.1661140000 , 121.2194580000 ,
Zhaoxiang,赵巷,Qingpu,,17, 31.1632370000 , 121.1877590000 ,
Huijin Road,汇金路,Qingpu,,17, 31.1631270000 , 121.1474010000 ,
Qingpu Xincheng,青浦新城,Qingpu,,17, 31.1608230000 , 121.1209260000 ,
Caoying Road,漕盈路,Qingpu,,17, 31.1622840000 , 121.0917370000 ,
Dianshanhu Avenue,淀山湖大道,Qingpu,,17, 31.1358910000 , 121.0763370000 ,
Zhujiajiao,朱家角,Qingpu,,17, 31.1025310000 , 121.0444510000 ,
Oriental Land,东方绿舟,Qingpu,,17, 31.1005800000 , 121.0151330000 ,
Shendu Highway,沈杜公路,Minhang,8,18, 31.0614180000 , 121.5122280000 ,
Sanlu Highway,三鲁公路,Minhang,,18, 31.0583020000 , 121.5230240000 ,
Minrui Road,闵瑞路,Minhang,,18, 31.0583020000 , 121.5230240000 ,
Puhang Road,浦航路,Minhang,,18, 31.0431750000 , 121.5262850000 ,
Dongchengyi Road,东城一路,Minhang,,18, 31.0326390000 , 121.5278120000 ,
Huizhen Road,汇臻路,Minhang,,18, 31.0274420000 , 121.5203110000 ,
