English,Chinese (S),Location,Transfers[10],Line, Latitude , Longitude ,
Shanghai Railway Station,上海火车站,Jing'an,1 [c] 4 Shanghai[b],3, 31.2472280221 , 121.4558052301 ,
Baoshan Road,宝山路,Jing'an,4,3, 31.2515710000 , 121.4763770000 ,
Dongbaoxing Road,东宝兴路,Hongkou,,3, 31.2597750000 , 121.4802410000 ,
Hongkou Football Stadium,虹口足球场,Hongkou,8,3, 31.2699198602 , 121.4792323897 ,
Chifeng Road,赤峰路,Hongkou,,3, 31.2812470000 , 121.4824900000 ,
Dabaishu,大柏树,Hongkou,,3, 31.2895460000 , 121.4832270000 ,
Jiangwan Town,江湾镇,Hongkou,,3, 31.3055080000 , 121.4850790000 ,
West Yingao Road,殷高西路,Baoshan,,3, 31.3198620000 , 121.4849690000 ,
South Changjiang Road,长江南路,Baoshan,,3, 31.3320430000 , 121.4915510000 ,
Songfa Road,淞发路,Baoshan,,3, 31.3445129131 , 121.5000504715 ,
Zhanghuabang,张华浜,Baoshan,,3, 31.3582034139 , 121.4986403697 ,
Songbin Road,淞滨路,Baoshan,,3, 31.3709280000 , 121.4906240000 ,
Shuichan Road,水产路,Baoshan,,3, 31.3823619265 , 121.4876622842 ,
Baoyang Road,宝杨路,Baoshan,,3, 31.3953090000 , 121.4795830000 ,
Youyi Road,友谊路,Baoshan,,3, 31.4040070000 , 121.4759480000 ,
Tieli Road,铁力路,Baoshan,,3, 31.4081610000 , 121.4612110000 ,
North Jiangyang Road,江杨北路,Baoshan,,3, 31.4078590000 , 121.4398140000 ,
Yishan Road,宜山路,Xuhui,3 9,4, 31.1867983693 , 121.4275760079 ,
Hongqiao Road,虹桥路,Changning,3 10,4, 31.1971021989 , 121.4211198430 ,
West Yan'an Road,延安西路,Changning,3,4, 31.2095810000 , 121.4170640000 ,
Zhongshan Park,中山公园,Changning,2 3,4, 31.2182221202 , 121.4162104851 ,
Jinshajiang Road,金沙江路,Putuo,3 13,4, 31.2313134633 , 121.4118713113 ,
Caoyang Road,曹杨路,Putuo,3 11,4, 31.2384670386 , 121.4168652789 ,
Zhenping Road,镇坪路,Putuo,3 7,4, 31.2467261837 , 121.4311606738 ,
Zhongtan Road,中潭路,Putuo,3,4, 31.2545850000 , 121.4411120000 ,
Shanghai Railway Station,上海火车站,Jing'an,1 [c] 3 Shanghai[b],4, 31.2472280221 , 121.4558052301 ,
Baoshan Road,宝山路,Jing'an,3,4, 31.2515710000 , 121.4763770000 ,
Hailun Road,海伦路,Hongkou,10,4, 31.2592106246 , 121.4886958127 ,
Linping Road,临平路,Hongkou,,4, 31.2609491656 , 121.5008871950 ,
Dalian Road,大连路,Hongkou/Yangpu,12,4, 31.2579402013 , 121.5129702667 ,
Yangshupu Road,杨树浦路,Yangpu,,4, 31.2523757963 , 121.5167491376 ,
Pudong Avenue,浦东大道,Pudong,,4, 31.2398859489 , 121.5193812925 ,
Century Avenue,世纪大道,Pudong,2 6 9,4, 31.2288923236 , 121.5271048707 ,
Pudian Road,浦电路,Pudong,[f],4, 31.2201040000 , 121.5280275000 ,
Lancun Road,蓝村路,Pudong,6,4, 31.2118831155 , 121.5282011849 ,
Tangqiao,塘桥,Pudong,,4, 31.2096202282 , 121.5183534066 ,
Nanpu Bridge,南浦大桥,Huangpu,,4, 31.2085890000 , 121.4995720000 ,
South Xizang Road,西藏南路,Huangpu,8,4, 31.2016619751 , 121.4896235528 ,
Luban Road,鲁班路,Huangpu,,4, 31.1991778046 , 121.4751705490 ,
Damuqiao Road,大木桥路,Xuhui,12,4, 31.1941644370 , 121.4637161324 ,
Dong'an Road,东安路,Xuhui,7,4, 31.1906372421 , 121.4547409621 ,
Shanghai Stadium,上海体育场,Xuhui,,4, 31.1855216262 , 121.4437131157 ,
Shanghai Indoor Stadium,上海体育馆,Xuhui,1,4, 31.1827224790 , 121.4370549409 ,
Xinzhuang,莘庄,Minhang,1 Jinshan Xinzhuang,5, 31.1110934835 , 121.3854538189 ,
Chunshen Road,春申路,Minhang,,5, 31.0982604413 , 121.3857766621 ,
Yindu Road,银都路,Minhang,,5, 31.0893014902 , 121.3902987668 ,
Zhuanqiao,颛桥,Minhang,,5, 31.0669829518 , 121.4018573535 ,
Beiqiao,北桥,Minhang,,5, 31.0450575157 , 121.4100445453 ,
Jianchuan Road,剑川路,Minhang,,5, 31.0264475273 , 121.4165896003 ,
Dongchuan Road,东川路,Minhang,,5, 31.0181760666 , 121.4198816326 ,
Jiangchuan Road,江川路,Minhang,,5, 31.0055270000 , 121.4212300000 ,
Xidu,西渡,Fengxian,,5, 30.9892501000 , 121.4322693000 ,
Xiaotang,萧塘,Fengxian,,5, 30.9663340000 , 121.4395540000 ,
Fengpu Avenue,奉浦大道,Fengxian,,5, 30.9406747000 , 121.4426933000 ,
Huanchengdong Road,环城东路,Fengxian,,5, 30.9406741000 , 121.4426504000 ,
Wangyuan Road,望园路,Fengxian,,5, 30.9435487000 , 121.4703893000 ,
Jinhai Lake,金海湖,Fengxian,,5, 30.9289060000 , 121.4902830000 ,
Fengxian Xincheng,奉贤新城,Fengxian,,5, 30.9056433000 , 121.4828075000 ,
Jinping Road,金平路,Minhang,,5, 31.0112473175 , 121.4102478623 ,
Huaning Road,华宁路,Minhang,,5, 31.0074491571 , 121.3953296667 ,
Wenjing Road,文井路,Minhang,,5, 31.0035793410 , 121.3808006065 ,
Minhang Development Zone,闵行开发区,Minhang,,5, 31.0006097689 , 121.3697526561 ,
Gangcheng Road,港城路,Pudong,,6, 31.3530170000 , 121.5748510000 ,
North Waigaoqiao Free Trade Zone,外高桥保税区北,Pudong,,6, 31.3478320000 , 121.5869120000 ,
Hangjin Road,航津路,Pudong,,6, 31.3354340000 , 121.5939810000 ,
South Waigaoqiao Free Trade Zone,外高桥保税区南,Pudong,,6, 31.3215960000 , 121.6019900000 ,
Zhouhai Road,洲海路,Pudong,,6, 31.3123100000 , 121.5894090000 ,
Wuzhou Avenue,五洲大道,Pudong,,6, 31.3025820000 , 121.5893140000 ,
Dongjing Road,东靖路,Pudong,,6, 31.2906610000 , 121.5888510000 ,
Jufeng Road,巨峰路,Pudong,12,6, 31.2801140955 , 121.5893540833 ,
Wulian Road,五莲路,Pudong,,6, 31.2720670000 , 121.5879570000 ,
Boxing Road,博兴路,Pudong,,6, 31.2639308458 , 121.5869734500 ,
Jinqiao Road,金桥路,Pudong,,6, 31.2569896961 , 121.5816786297 ,
Yunshan Road,云山路,Pudong,,6, 31.2499496769 , 121.5720040087 ,
Deping Road,德平路,Pudong,,6, 31.2458840414 , 121.5651017214 ,
Beiyangjing Road,北洋泾路,Pudong,,6, 31.2390080754 , 121.5520826175 ,
Minsheng Road,民生路,Pudong,,6, 31.2361582961 , 121.5445705785 ,
Yuanshen Stadium,源深体育中心,Pudong,,6, 31.2329160556 , 121.5342307197 ,
Century Avenue,世纪大道,Pudong,2 4 9,6, 31.2288923236 , 121.5271048707 ,
Pudian Road,浦电路,Pudong,[f],6, 31.2208655000 , 121.5232426000 ,
Lancun Road,蓝村路,Pudong,4,6, 31.2118831155 , 121.5282011849 ,
Shanghai Children's Medical Center,上海儿童医学中心,Pudong,,6, 31.2040504786 , 121.5239263830 ,
Linyi Xincun,临沂新村,Pudong,,6, 31.1937122910 , 121.5175535907 ,
West Gaoke Road,高科西路,Pudong,7,6, 31.1855065553 , 121.5100592293 ,
Dongming Road,东明路,Pudong,13,6, 31.1727372577 , 121.5110069046 ,
Gaoqing Road,高青路,Pudong,,6, 31.1594128091 , 121.5157072185 ,
West Huaxia Road,华夏西路,Pudong,,6, 31.1498853611 , 121.5147073483 ,
Shangnan Road,上南路,Pudong,,6, 31.1491124566 , 121.5064128262 ,
South Lingyan Road,灵岩南路,Pudong,,6, 31.1487240738 , 121.4952675478 ,
Oriental Sports Center,东方体育中心,Pudong,8 11,6, 31.1534473114 , 121.4803520640 ,
Meilan Lake,美兰湖,Baoshan,,7, 31.4017180000 , 121.3501310000 ,
Luonan Xincun,罗南新村,Baoshan,,7, 31.3887270000 , 121.3574470000 ,
Panguang Road,潘广路,Baoshan,,7, 31.3639002926 , 121.3561903671 ,
Liuhang,刘行,Baoshan,,7, 31.3558672288 , 121.3643376605 ,
Gucun Park,顾村公园,Baoshan,,7, 31.3458150191 , 121.3722680415 ,
Qihua Road,祁华路,Baoshan,,7, 31.3223090000 , 121.3735680000 ,
Shanghai University,上海大学,Baoshan,,7, 31.3122937000 , 121.3893953000 ,
Nanchen Road,南陈路,Baoshan,,7, 31.3213250466 , 121.3972493120 ,
Shangda Road,上大路,Baoshan,,7, 31.3135235806 , 121.4091790496 ,
Changzhong Road,场中路,Baoshan,,7, 31.3026200241 , 121.4137797816 ,
Dachang Town,大场镇,Baoshan,,7, 31.2924979966 , 121.4171289369 ,
Xingzhi Road,行知路,Baoshan,,7, 31.2846852699 , 121.4217897975 ,
Dahuasan Road,大华三路,Baoshan,,7, 31.2751766296 , 121.4232120258 ,
Xincun Road,新村路,Putuo,,7, 31.2647118721 , 121.4228274707 ,
Langao Road,岚皋路,Putuo,,7, 31.2555904005 , 121.4218989839 ,
Zhenping Road,镇坪路,Putuo,3 4,7, 31.2467261837 , 121.4311606738 ,
Changshou Road,长寿路,Putuo,13,7, 31.2404172824 , 121.4377528496 ,
Changping Road,昌平路,Jing'an,,7, 31.2333339501 , 121.4429167347 ,
Jing'an Temple,静安寺,Jing'an,2,7, 31.2240646488 , 121.4481662804 ,
Changshu Road,常熟路,Xuhui,1,7, 31.2132997178 , 121.4510675172 ,
Zhaojiabang Road,肇嘉浜路,Xuhui,9,7, 31.1994744088 , 121.4504910350 ,
Dong'an Road,东安路,Xuhui,4,7, 31.1906372421 , 121.4547409621 ,
Middle Longhua Road,龙华中路,Xuhui,12,7, 31.1847817951 , 121.4574426404 ,
Houtan,后滩,Pudong,,7, 31.1731678038 , 121.4720045217 ,
Changqing Road,长清路,Pudong,13 [c],7, 31.1755484866 , 121.4873910460 ,
Yaohua Road,耀华路,Pudong,8,7, 31.1785403646 , 121.4946775887 ,
Yuntai Road,云台路,Pudong,,7, 31.1822209422 , 121.5003596870 ,
West Gaoke Road,高科西路,Pudong,6,7, 31.1855065553 , 121.5100592293 ,
South Yanggao Road,杨高南路,Pudong,,7, 31.1876608082 , 121.5238536699 ,
Jinxiu Road,锦绣路,Pudong,,7, 31.1876287780 , 121.5399536728 ,
Fanghua Road,芳华路,Pudong,,7, 31.1935373317 , 121.5498175737 ,
Longyang Road,龙阳路,Pudong,2 16 Maglev [e],7, 31.2019512949 , 121.5577914396 ,
Huamu Road,花木路,Pudong,,7, 31.2130691249 , 121.5617630185 ,
Shiguang Road,市光路,Yangpu,,8, 31.3227345388 , 121.5320016506 ,
Nenjiang Road,嫩江路,Yangpu,,8, 31.3146857936 , 121.5319922841 ,
Xiangyin Road,翔殷路,Yangpu,,8, 31.3050469908 , 121.5319512043 ,
Huangxing Park,黄兴公园,Yangpu,,8, 31.2957953337 , 121.5331812958 ,
Middle Yanji Road,延吉中路,Yangpu,,8, 31.2886510338 , 121.5349745632 ,
Huangxing Road,黄兴路,Yangpu,,8, 31.2782469110 , 121.5273704901 ,
Jiangpu Road,江浦路,Yangpu,,8, 31.2749257805 , 121.5185859374 ,
Anshan Xincun,鞍山新村,Yangpu,,8, 31.2729446605 , 121.5092299692 ,
Siping Road,四平路,Yangpu/Hongkou,10,8, 31.2748052758 , 121.5014803410 ,
Quyang Road,曲阳路,Hongkou,,8, 31.2765518312 , 121.4902771138 ,
Hongkou Football Stadium,虹口足球场,Hongkou,3,8, 31.2699198602 , 121.4792323897 ,
North Xizang Road,西藏北路,Jing'an,,8, 31.2636458610 , 121.4691526519 ,
Zhongxing Road,中兴路,Jing'an,,8, 31.2544675186 , 121.4686319777 ,
Qufu Road,曲阜路,Jing'an,12,8, 31.2422794629 , 121.4715317437 ,
People's Square,人民广场,Huangpu,1 2,8, 31.2323725402 , 121.4760743398 ,
Dashijie,大世界,Huangpu,,8, 31.2272108962 , 121.4794747564 ,
Laoximen,老西门,Huangpu,10,8, 31.2187806625 , 121.4828868891 ,
Lujiabang Road,陆家浜路,Huangpu,9,8, 31.2119455185 , 121.4859701296 ,
South Xizang Road,西藏南路,Huangpu,4,8, 31.2016619751 , 121.4896235528 ,
China Art Museum,中华艺术宫,Pudong,,8, 31.1849728500 , 121.4937458717 ,
Yaohua Road,耀华路,Pudong,7,8, 31.1785403646 , 121.4946775887 ,
Chengshan Road,成山路,Pudong,13,8, 31.1713302128 , 121.4960790306 ,
Yangsi,杨思,Pudong,,8, 31.1609856240 , 121.4935001957 ,
Oriental Sports Center,东方体育中心,Pudong,6 11,8, 31.1534473114 , 121.4803520640 ,
Lingzhao Xincun,凌兆新村,Pudong,,8, 31.1410822754 , 121.4892806037 ,
Luheng Road,芦恒路,Minhang,,8, 31.1181634779 , 121.4982891898 ,
Pujiang Town,浦江镇,Minhang,,8, 31.0962380000 , 121.5063860000 ,
Jiangyue Road,江月路,Minhang,,8, 31.0840150000 , 121.5086280000 ,
Lianhang Road,联航路,Minhang,,8, 31.0734250000 , 121.5105810000 ,
Shendu Highway,沈杜公路,Minhang,Pujiang Fengpu BRT,8, 31.0614180000 , 121.5122280000 ,
Songjiang South Railway Station,松江南站,Songjiang,Songjiangnan[b],9, 30.9842993853 , 121.2310289944 ,
Zuibaichi Park,醉白池,Songjiang,Songjiang[b],9, 31.0007030456 , 121.2289431367 ,
Songjiang Sports Center,松江体育中心,Songjiang,,9, 31.0158671439 , 121.2307007613 ,
Songjiang Xincheng,松江新城,Songjiang,,9, 31.0300924867 , 121.2307176173 ,
Songjiang University Town,松江大学城,Songjiang,,9, 31.0493850000 , 121.2120380000 ,
Dongjing,洞泾,Songjiang,,9, 31.0844810000 , 121.2304750000 ,
Sheshan,佘山,Songjiang,,9, 31.1044610000 , 121.2297200000 ,
Sijing,泗泾,Songjiang,,9, 31.1183190000 , 121.2604410000 ,
